Frequency(Hz),Magnitude(Ohm),Phase(rad)
28100,162.101,1.257
28200,162.775,1.259
28300,163.448,1.26
28400,164.12,1.261
28500,164.793,1.263
28600,165.465,1.264
28700,166.137,1.265
28800,166.809,1.266
28900,167.481,1.268
29000,168.152,1.269
29100,168.823,1.27
29200,169.494,1.271
29300,170.165,1.273
29400,170.835,1.274
29500,171.505,1.275
29600,172.175,1.276
29700,172.845,1.277
29800,173.515,1.278
29900,174.184,1.28
30000,174.853,1.281
30100,175.522,1.282
30200,176.19,1.283
30300,176.859,1.284
30400,177.527,1.285
30500,178.195,1.286
30600,178.863,1.287
30700,179.531,1.289
30800,180.198,1.29
30900,180.865,1.291
31000,181.532,1.292
31100,182.199,1.293
31200,182.865,1.294
31300,183.532,1.295
31400,184.198,1.296
31500,184.864,1.297
31600,185.53,1.298
31700,186.195,1.299
31800,186.861,1.3
31900,187.526,1.301
32000,188.191,1.302
32100,188.856,1.303
32200,189.52,1.304
32300,190.185,1.305
32400,190.849,1.306
32500,191.513,1.307
32600,192.177,1.308
32700,192.84,1.309
32800,193.504,1.309
32900,194.167,1.31
33000,194.83,1.311
33100,195.493,1.312
33200,196.156,1.313
33300,196.819,1.314
33400,197.481,1.315
33500,198.143,1.316
33600,198.805,1.317
33700,199.467,1.317
33800,200.129,1.318
33900,200.791,1.319
34000,201.452,1.32
34100,202.113,1.321
34200,202.774,1.322
34300,203.435,1.322
34400,204.096,1.323
34500,204.756,1.324
34600,205.417,1.325
34700,206.077,1.326
34800,206.737,1.327
34900,207.397,1.327
35000,208.057,1.328
35100,208.716,1.329
35200,209.376,1.33
35300,210.035,1.33
35400,210.694,1.331
35500,211.353,1.332
35600,212.012,1.333
35700,212.671,1.333
35800,213.329,1.334
35900,213.988,1.335
36000,214.646,1.336
36100,215.304,1.336
36200,215.962,1.337
36300,216.62,1.338
36400,217.278,1.339
36500,217.935,1.339
36600,218.593,1.34
36700,219.25,1.341
36800,219.907,1.341
36900,220.564,1.342
37000,221.221,1.343
37100,221.878,1.343
37200,222.534,1.344
37300,223.19,1.345
37400,223.847,1.346
37500,224.503,1.346
37600,225.159,1.347
37700,225.815,1.348
37800,226.471,1.348
37900,227.126,1.349
38000,227.782,1.349
38100,228.437,1.35
38200,229.092,1.351
38300,229.748,1.351
38400,230.403,1.352
38500,231.057,1.353
38600,231.712,1.353
38700,232.367,1.354
38800,233.021,1.355
38900,233.676,1.355
39000,234.33,1.356
39100,234.984,1.356
39200,235.638,1.357
39300,236.292,1.358
39400,236.946,1.358
39500,237.6,1.359
39600,238.253,1.359
39700,238.907,1.36
39800,239.56,1.361
39900,240.213,1.361
40000,240.866,1.362
40100,241.519,1.362
40200,242.172,1.363
40300,242.825,1.363
40400,243.477,1.364
40500,244.13,1.365
40600,244.782,1.365
40700,245.435,1.366
40800,246.087,1.366
40900,246.739,1.367
41000,247.391,1.367
41100,248.043,1.368
41200,248.695,1.368
41300,249.347,1.369
41400,249.998,1.369
41500,250.65,1.37
41600,251.301,1.37
41700,251.952,1.371
41800,252.604,1.372
41900,253.255,1.372
42000,253.906,1.373
42100,254.556,1.373
42200,255.207,1.374
42300,255.858,1.374
42400,256.509,1.375
42500,257.159,1.375
42600,257.809,1.376
42700,258.46,1.376
42800,259.11,1.377
42900,259.76,1.377
43000,260.41,1.378
43100,261.06,1.378
43200,261.71,1.379
43300,262.36,1.379
43400,263.009,1.38
43500,263.659,1.38
43600,264.308,1.38
43700,264.958,1.381
43800,265.607,1.381
43900,266.256,1.382
44000,266.905,1.382
44100,267.554,1.383
44200,268.203,1.383
44300,268.852,1.384
44400,269.501,1.384
44500,270.15,1.385
44600,270.798,1.385
44700,271.447,1.386
44800,272.095,1.386
44900,272.744,1.386
45000,273.392,1.387
45100,274.04,1.387
45200,274.688,1.388
45300,275.336,1.388
45400,275.984,1.389
45500,276.632,1.389
45600,277.28,1.389
45700,277.927,1.39
45800,278.575,1.39
45900,279.223,1.391
46000,279.87,1.391
46100,280.517,1.392
46200,281.165,1.392
46300,281.812,1.392
46400,282.459,1.393
46500,283.106,1.393
46600,283.753,1.394
46700,284.4,1.394
46800,285.047,1.394
46900,285.694,1.395
47000,286.34,1.395
47100,286.987,1.396
47200,287.634,1.396
47300,288.28,1.396
47400,288.927,1.397
47500,289.573,1.397
47600,290.219,1.398
47700,290.865,1.398
47800,291.512,1.398
47900,292.158,1.399
48000,292.804,1.399
48100,293.45,1.4
48200,294.095,1.4
48300,294.741,1.4
48400,295.387,1.401
48500,296.033,1.401
48600,296.678,1.401
48700,297.324,1.402
48800,297.969,1.402
48900,298.614,1.403
49000,299.26,1.403
49100,299.905,1.403
49200,300.55,1.404
49300,301.195,1.404
49400,301.84,1.404
49500,302.485,1.405
49600,303.13,1.405
49700,303.775,1.405
49800,304.42,1.406
49900,305.065,1.406
50000,305.709,1.407
50100,306.354,1.407
50200,306.999,1.407
50300,307.643,1.408
50400,308.288,1.408
50500,308.932,1.408
50600,309.576,1.409
50700,310.221,1.409
50800,310.865,1.409
50900,311.509,1.41
51000,312.153,1.41
51100,312.797,1.41
51200,313.441,1.411
51300,314.085,1.411
51400,314.729,1.411
51500,315.372,1.412
51600,316.016,1.412
51700,316.66,1.412
51800,317.304,1.413
51900,317.947,1.413
52000,318.591,1.413
52100,319.234,1.414
52200,319.877,1.414
52300,320.521,1.414
52400,321.164,1.414
52500,321.807,1.415
52600,322.45,1.415
52700,323.094,1.415
52800,323.737,1.416
52900,324.38,1.416
53000,325.023,1.416
53100,325.666,1.417
53200,326.308,1.417
53300,326.951,1.417
53400,327.594,1.418
53500,328.237,1.418
53600,328.879,1.418
53700,329.522,1.418
53800,330.165,1.419
53900,330.807,1.419
54000,331.449,1.419
54100,332.092,1.42
54200,332.734,1.42
54300,333.377,1.42
54400,334.019,1.421
54500,334.661,1.421
54600,335.303,1.421
54700,335.945,1.421
54800,336.587,1.422
54900,337.229,1.422
55000,337.871,1.422
55100,338.513,1.423
55200,339.155,1.423
55300,339.797,1.423
55400,340.439,1.423
55500,341.08,1.424
55600,341.722,1.424
55700,342.364,1.424
55800,343.005,1.425
55900,343.647,1.425
56000,344.288,1.425
56100,344.93,1.425
56200,345.571,1.426
56300,346.213,1.426
56400,346.854,1.426
56500,347.495,1.426
56600,348.137,1.427
56700,348.778,1.427
56800,349.419,1.427
56900,350.06,1.427
57000,350.701,1.428
57100,351.342,1.428
57200,351.983,1.428
57300,352.624,1.429
57400,353.265,1.429
57500,353.906,1.429
57600,354.547,1.429
57700,355.187,1.43
57800,355.828,1.43
57900,356.469,1.43
58000,357.109,1.43
58100,357.75,1.431
58200,358.39,1.431
58300,359.031,1.431
58400,359.671,1.431
58500,360.312,1.432
58600,360.952,1.432
58700,361.593,1.432
58800,362.233,1.432
58900,362.873,1.433
59000,363.514,1.433
59100,364.154,1.433
59200,364.794,1.433
59300,365.434,1.434
59400,366.074,1.434
